12-02-2019_00-24,0,-0.3458724071422891,-24.252873563218465,23.003533568904484
12-02-2019_00-47,1,2.8546292020135144,-23.35548172757481,31.371841155234478
12-02-2019_01-09,2,12.48832253768992,-22.857142857142907,48.4982935153581
12-02-2019_01-32,3,8.013957654750264,-10.392156862745026,29.479553903345543
12-02-2019_01-54,4,7.926939317388449,-15.86572438162537,39.95884773662528
12-02-2019_02-16,5,11.205970211610904,-15.185185185185112,43.359073359073136
12-02-2019_02-37,6,11.668183900930924,-13.660130718954175,41.66123778501606
12-02-2019_02-59,7,12.571840672141953,-6.653696498054417,43.77049180327839
12-02-2019_03-22,8,11.519042263005229,-7.1986970684038845,45.098814229248724
12-02-2019_03-45,9,10.89837486042984,-11.13207547169804,37.66917293233055
12-02-2019_04-07,10,11.756191792678042,-8.260869565217318,32.74509803921547
12-02-2019_04-29,11,12.858994182608786,-4.683544303797397,39.498069498069206
12-02-2019_04-51,12,14.469601659995016,2.258064516129127,33.99999999999974
12-02-2019_05-13,13,12.112721234176057,0.030030030030114535,39.68641114982563
12-02-2019_05-35,14,14.741578466874923,-8.339350180505349,82.24489795918373
12-02-2019_05-56,15,11.20272222041571,-22.88256227758012,40.28753993610209
12-02-2019_06-18,16,16.098720790731345,-1.6599190283400262,76.87022900763358
12-02-2019_06-40,17,22.56528574717273,-9.797979797979725,93.01587301587367
12-02-2019_07-02,18,15.835727833038748,2.608695652174009,56.50519031141862
12-02-2019_07-24,19,20.994576155787577,-9.729729729729655,90.00000000000028
